;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;P.H.T12;P.H.T3;SBA12_B05.P.H.T12_1;SBA39_E07.P.H.T12_2;SBA60_A07.P.H.T12_1;SB12_A09.P.H.T3_1;SB39_E05.P.H.T3_2;SB60_A05.P.H.T3_1;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
16846522;TAC4//FLJ45513;255061;0,0282141055126948;3,02306201736146;0,0842678029140121;0,933896578666038;0,998471812968053;-4,91911493593934;0,0282141055126943;2,91082850096709;2,88261439545439;2,64244729075617;2,76341248639852;3,32662572574658;3,40413684395502;3,09431854398242;2,14938779842573;0,410062679133031;0,816496580927726;0,069797241865565;0,946307134849333;7;0,495078030363003;0,327880125085604;8,8819669997526
16703889;RNU7-77P;---;-0,0359325405124586;4,0028524176963;-0,0842476689454348;0,933912332974798;0,998471812968053;-4,91911579873523;-0,0359325405124586;4,23483335195271;4,27076589246516;5,1569588513818;4,08311977452616;3,46442142995015;4,33477296699838;4,4778600111204;3,99966469927672;0,522366912456738;0,816496580927726;-0,0633433142909028;0,951263974593882;7;0,694756742702119;0,327880125085604;8,8819669997526
16698443;DSTYK;25778;-0,0224739805461436;4,32373334155902;-0,0842349560044453;0,933922280536366;0,998471812968053;-4,91911634341364;-0,0224739805461436;4,2887977261511;4,31127170669724;4,34242018203558;4,27269486186144;4,25127813455628;4,28574659111671;4,03816261483984;4,60990591413517;0,326763302543794;0,816496580927726;-0,0846032860840633;0,934945594683957;7;0,325340701143623;0,327880125085604;8,8819669997526
16978251;ADH1C;126;-0,0202014391362582;6,50772393661403;-0,0842251165595784;0,933929979666132;0,998471812968053;-4,91911676492247;-0,0202014391362573;6,83713334034337;6,85733477947963;6,64463664699811;6,64617310775676;7,22059026627523;6,33051253861637;7,17626029581249;7,06523150401001;0,293755710736951;0,816496580927726;-0,101536306491137;0,921971969030691;7;0,243672532829636;0,327880125085604;8,8819669997526
16929615;APOL6;80830;-0,0181631733988032;6,54706529127194;-0,083890344741099;0,934191934623899;0,998471812968053;-4,91913107680767;-0,0181631733988006;6,60251989194128;6,62068306534008;6,42476184890831;6,94011146042346;6,44268636649207;6,4657024932423;6,79507045194466;6,60127625083328;0,265170604996717;0,816496580927726;-0,146277810223869;0,887825538579072;7;0,152075379268636;0,327880125085604;8,8819669997526
16875465;AC008984.2//AC008984.6;---;-0,0233882568794299;2,67490444122597;-0,0838281997010306;0,93424056323816;0,998471812968053;-4,91913372731641;-0,0233882568794304;2,63082544868356;2,65421370556299;2,64994854031708;2,64994854031708;2,59257926541651;2,61113778910015;2,97707359963324;2,37442972795557;0,341706582820944;0,816496580927726;-0,079905059485963;0,938549192835761;7;0,358483528429171;0,327880125085604;8,8819669997526
17072052;AARD;441376;-0,0205920581653141;3,53996164500118;-0,0838223296738398;0,934245156559726;0,998471812968053;-4,91913397757383;-0,0205920581653141;3,49408919789029;3,5146812560556;3,6336325739779;3,70887898422503;3,13975603546793;3,67599339233223;3,84212554686569;3,02592482896888;0,300874692071898;0,816496580927726;-0,0960243794193314;0,926192470887282;7;0,262641818482697;0,327880125085604;8,8819669997526
16882740;IGKV2D-28//IGKV2-28//IGKV2D-30//IGKC//IGKV2-30//IGKV2-4//IGKV2OR22-4;---;0,0204111765579671;2,89407978857314;0,0837436153748538;0,934306751069732;0,998471812968053;-4,91913733171709;0,0204111765579671;3,06879872957981;3,04838755302185;2,54976682346959;3,62887925829285;3,027750106977;2,94039878034804;3,49848172971477;2,70628214900274;0,298512115777901;0,816496580927726;0,0974780830777312;0,925079111385962;7;0,256452353381878;0,327880125085604;8,8819669997526
16715577;MYOZ1;58529;0,0265696879017341;3,75222583612163;0,0836628001362974;0,934369990029011;0,998471812968053;-4,91914077211065;0,0265696879017336;3,63191940212532;3,60534971422359;3,43524151101927;3,78849848686673;3,67201820848996;3,43503096342426;3,3994850179138;3,9815331613327;0,388955293620467;0,816496580927726;0,0715512597436036;0,944960419182056;7;0,454794075027212;0,327880125085604;8,8819669997526
16926302;ICOSLG;23308;0,0215250086901886;4,11579667418064;0,0836227325814585;0,934401343572352;0,998471812968053;-4,91914247660048;0,0215250086901877;4,31140281399071;4,28987780530052;3,94204208457616;4,44187047356528;4,55029588383069;3,99703022945764;4,38566857213992;4,48693461430401;0,315256906658575;0,816496580927726;0,0883252236919249;0,932091978534873;7;0,298472428350929;0,327880125085604;8,8819669997526
17005215;RNA5SP205;---;0,0223145539309009;2,88329364519445;0,0834709987178814;0,934520078913338;0,998471812968053;-4,91914892402893;0,0223145539309009;2,89682039795475;2,87450584402385;3,33228345069571;2,45902738699954;2,899150356169;2,47006661046631;2,57227732785865;3,58117359374658;0,327414741695276;0,816496580927726;0,0836220573667879;0,935698077215192;7;0,326823284966394;0,327880125085604;8,8819669997526
16711181;LINC00701;399708;0,0198245300020132;2,86453235965085;0,0834205037111374;0,934559592806217;0,998471812968053;-4,91915106705384;0,0198245300020132;2,83023513479711;2,81041060479509;2,87775531279385;2,81588787629974;2,79706221529773;3,09676992535754;2,74508941699137;2,58937247203637;0,291055440420133;0,816496580927726;0,102791433981334;0,921011284993213;7;0,236206369609782;0,327880125085604;8,8819669997526
17019260;PEX6;5190;-0,0177710705762619;5,44352301383081;-0,0833358013576983;0,934625875395067;0,998471812968053;-4,9191546589417;-0,0177710705762619;5,57649852176573;5,59426959234199;5,63319736302573;5,55406906965413;5,54222913261733;5,60893943603609;5,55051735099073;5,62335198999916;0,261172595605024;0,816496580927726;-0,16066134274646;0,876898379994827;7;0,135471465477307;0,327880125085604;8,8819669997526
16861563;ZNF793;390927;-0,0220651987921507;3,69351631606935;-0,0832422319848969;0,934699097318215;0,998471812968053;-4,9191586226081;-0,0220651987921499;3,7876117462596;3,80967694505175;4,19869636212631;3,92944182786461;3,23469704878789;4,04641284723959;3,63661974756784;3,74599824034783;0,324645776699328;0,816496580927726;-0,0843203439457229;0,935162569450694;7;0,320494886433552;0,327880125085604;8,8819669997526
16945768;ACKR4;51554;0,0247905570628384;2,78805539885541;0,0832140290136737;0,93472116743425;0,998471812968053;-4,91915981643419;0,0247905570628393;2,80119829730443;2,77640774024159;2,99071383626524;2,90147380155097;2,51140725409708;2,85622568050465;2,55128434283791;2,92171319738222;0,364867654907837;0,816496580927726;0,0746017437415482;0,942618753534792;7;0,406989248493158;0,327880125085604;8,8819669997526
